authIdHalFullName_fs	authIdHalFullName_fs	halId_s	docType_s	producedDateY_i	fileMain_s	doiId_s
Arnaud Serry,Ronan Kerbiriou,Yann Alix	"c(""arnaudserry_FacetSep_Arnaud Serry"", ""ronan-kerbiriou_FacetSep_Ronan Kerbiriou"", ""_FacetSep_Yann Alix"")"	hal-04313327	SYNTHESE	2023	https://normandie-univ.hal.science/hal-04313327/document	NA
Muriel Gilardone	_FacetSep_Muriel Gilardone	halshs-04151232	UNDEFINED	2023	https://shs.hal.science/halshs-04151232/document	NA
Sunny Le Galloudec	_FacetSep_Sunny Le Galloudec	hal-03663111	ART	2021	https://normandie-univ.hal.science/hal-03663111/document	10.3917/rha.303.0061
Éric Daudé	eric-daude_FacetSep_Éric Daudé	halshs-03694995	ART	2022	https://shs.hal.science/halshs-03694995/document	10.21494/ISTE.OP.2022.0853
Jean de Préneuf,Thomas Vaisset	"c(""jean-de-preneuf_FacetSep_Jean de Préneuf"", ""thomas-vaisset_FacetSep_Thomas Vaisset"")"	hal-03874105	COUV	2022	https://normandie-univ.hal.science/hal-03874105/document	10.46608/primaluna12.9782858926374.4
Daniel Ballesteros,Pablo Caldevilla,Ramón Vila,Xose Carlos Barros,Martín Alemparte	"c(""_FacetSep_Daniel Ballesteros"", ""_FacetSep_Pablo Caldevilla"", ""_FacetSep_Ramón Vila"", ""_FacetSep_Xose Carlos Barros"", ""_FacetSep_Martín Alemparte"")"	hal-03283166	ART	2021	https://hal.science/hal-03283166/document	10.1007/s12371-021-00590-8
Joël Colloc	thx036976580304_FacetSep_Joël Colloc	hal-03661339	COMM	2022	https://hal.science/hal-03661339/document	NA
Lilian Loubet,Arnaud Serry	"c(""_FacetSep_Lilian Loubet"", ""_FacetSep_Arnaud Serry"")"	hal-03445839	OUV	2021	https://normandie-univ.hal.science/hal-03445839/document	NA
Jean-Yves Perodou	_FacetSep_Jean-Yves Perodou	tel-03368115	THESE	2021	https://theses.hal.science/tel-03368115/document	NA
Arnaud Serry,Lilian Loubet	"c(""arnaudserry_FacetSep_Arnaud Serry"", ""loubet-lilian_FacetSep_Lilian Loubet"")"	hal-03164722	ART	2021	https://normandie-univ.hal.science/hal-03164722/document	10.15181/rfds.v33i1.2202
Philippe Vidal,Marie-Hélène Gauthier	"c(""philippe-vidal_FacetSep_Philippe Vidal"", ""marie-helene-gauthier_FacetSep_Marie-Hélène Gauthier"")"	hal-03600536	ART	2021	https://hal.science/hal-03600536/document	10.4000/cybergeo.36839
Arnaud Serry	arnaudserry_FacetSep_Arnaud Serry	hal-04142665	ART	2023	https://hal.science/hal-04142665/document	10.12716/1001.17.02.13
Emmanuel Eliot,Armelle Couillet,Céline Colange	"c(""_FacetSep_Emmanuel Eliot"", ""armelle-couillet_FacetSep_Armelle Couillet"", ""_FacetSep_Céline Colange"")"	halshs-04329874	ISSUE	2023	https://shs.hal.science/halshs-04329874/document	NA
Alexandre Cebeillac,Éric Daudé	"c(""_FacetSep_Alexandre Cebeillac"", ""eric-daude_FacetSep_Éric Daudé"")"	hal-04184046	COUV	2023	https://hal.science/hal-04184046/document	10.51926/iste.9109.ch1
Yvette Vaguet,Philippe Jeanne	"c(""yvette-vaguet_FacetSep_Yvette Vaguet"", ""_FacetSep_Philippe Jeanne"")"	hal-03617049	ART	2022	https://hal.science/hal-03617049/document	10.4000/cybergeo.38293
John Barzman	barzmanj_FacetSep_John Barzman	hal-03220581	ART	2021	https://hal.science/hal-03220581/document	NA
Bastien Peuziat	bastien-peuziat_FacetSep_Bastien Peuziat	tel-04032170	THESE	2022	https://theses.hal.science/tel-04032170/document	NA
Yvette Vaguet,Jonathan Hani	"c(""yvette-vaguet_FacetSep_Yvette Vaguet"", ""_FacetSep_Jonathan Hani"")"	halshs-01821745	ART	2021	https://shs.hal.science/halshs-01821745/document	10.3917/eg.503.0175
François Guiziou	francois-guiziou_FacetSep_François Guiziou	hal-04314293	ART	2024	https://hal.science/hal-04314293/document	10.12716/1001.18.01.20
Nicolas Blanchard	_FacetSep_Nicolas Blanchard	tel-04440047	THESE	2023	https://theses.hal.science/tel-04440047/document	NA
Igor Girault	_FacetSep_Igor Girault	tel-04452931	THESE	2023	https://theses.hal.science/tel-04452931/document	NA
Florence Bourges	_FacetSep_Florence Bourges	tel-04107576	THESE	2022	https://theses.hal.science/tel-04107576/document	NA
Élise Autrive	_FacetSep_Élise Autrive	tel-03614984	THESE	2021	https://theses.hal.science/tel-03614984/document	NA
Igor Girault	_FacetSep_Igor Girault	tel-04469768	THESE	2023	https://hal.science/tel-04469768/document	NA
Samuel Deprez	deprez-samuel_FacetSep_Samuel Deprez	hal-04299850	OTHER	2023	https://hal.science/hal-04299850/document	NA
Jonas Pigeon	jonas-pigeon_FacetSep_Jonas Pigeon	hal-03931406	COUV	2022	https://hal.science/hal-03931406/document	NA
Jeanne Probst	_FacetSep_Jeanne Probst	tel-03783616	THESE	2022	https://theses.hal.science/tel-03783616/document	NA
Arnaud Serry	_FacetSep_Arnaud Serry	hal-03656297	ART	2021	https://normandie-univ.hal.science/hal-03656297/document	NA
John Barzman	barzmanj_FacetSep_John Barzman	halshs-03219342	ART	2021	https://shs.hal.science/halshs-03219342/document	NA
Bastien Sandberg,Olivier Maquaire,Candide Lissak,Mohand Medjkane,Thomas Roulland,Robert Davidson	"c(""_FacetSep_Bastien Sandberg"", ""olivier-maquaire_FacetSep_Olivier Maquaire"", ""candide-lissak_FacetSep_Candide Lissak"", ""mohand-medjkane_FacetSep_Mohand Medjkane"", ""_FacetSep_Thomas Roulland"", ""robert-davidson_FacetSep_Robert Davidson"")"	hal-04219333	POSTER	2022	https://hal.science/hal-04219333/document	NA
Arnaud Serry	_FacetSep_Arnaud Serry	hal-03431456	ART	2021	https://normandie-univ.hal.science/hal-03431456/document	10.15181/rfds.v35i3.2276
Emilija Pundziute Gallois,Arnaud Serry	"c(""_FacetSep_Emilija Pundziute Gallois"", ""arnaudserry_FacetSep_Arnaud Serry"")"	hal-04425005	OUV	2023	https://normandie-univ.hal.science/hal-04425005/document	NA
Ndeye Ngom	_FacetSep_Ndeye Ngom	tel-03575154	THESE	2021	https://theses.hal.science/tel-03575154/document	NA
Lilian Loubet,Arnaud Serry	"c(""loubet-lilian_FacetSep_Lilian Loubet"", ""arnaudserry_FacetSep_Arnaud Serry"")"	hal-03824198	ART	2022	https://normandie-univ.hal.science/hal-03824198/document	10.7225/toms.v11.n02.007
Lilian Loubet,Arnaud Serry	"c(""loubet-lilian_FacetSep_Lilian Loubet"", ""arnaudserry_FacetSep_Arnaud Serry"")"	hal-03395996	OUV	2021	https://hal.science/hal-03395996/document	NA
Arnaud Serry	arnaudserry_FacetSep_Arnaud Serry	tel-04424725	HDR	2023	https://normandie-univ.hal.science/tel-04424725/document	NA
Mathilde Guillemois,Daniel Delahaye,Romain Reulier	"c(""_FacetSep_Mathilde Guillemois"", ""_FacetSep_Daniel Delahaye"", ""romain-reulier_FacetSep_Romain Reulier"")"	hal-04417307	ART	2023	https://hal.science/hal-04417307/document	10.4000/cybergeo.40656
Thomas Roulland	_FacetSep_Thomas Roulland	tel-03827251	THESE	2022	https://theses.hal.science/tel-03827251/document	NA
Ralph Zoghaib	_FacetSep_Ralph Zoghaib	tel-03635142	THESE	2021	https://theses.hal.science/tel-03635142/document	NA
Joël Colloc,Relwende Aristide Yameogo,Peter Summons,Lilian Loubet,Jean-Bernard Cavelier,Paul Bridier	"c(""thx036976580304_FacetSep_Joël Colloc"", ""relwende-aristide-yameogo_FacetSep_Relwende Aristide Yameogo"", ""_FacetSep_Peter Summons"", ""loubet-lilian_FacetSep_Lilian Loubet"", ""_FacetSep_Jean-Bernard Cavelier"", ""_FacetSep_Paul Bridier"")"	hal-03586734	ART	2022	https://hal.science/hal-03586734/document	10.3390/a15020066
Arnaud Serry,Margaux Pasquier	"c(""arnaudserry_FacetSep_Arnaud Serry"", ""_FacetSep_Margaux Pasquier"")"	hal-03445948	COUV	2021	https://normandie-univ.hal.science/hal-03445948/document	NA
Guillaume Thirard	_FacetSep_Guillaume Thirard	tel-03652963	THESE	2022	https://theses.hal.science/tel-03652963/document	NA
Sandra Gaviria	sandra-gaviria_FacetSep_Sandra Gaviria	hal-03594929	OTHER	2022	https://hal.science/hal-03594929/document	NA
